"time","GEO_ID","NAME","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT","AMOUNT_CV",
"Year","Geographic identifier code","Geographic Area Name","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount","Coefficent of Variation for Amount (percent)",
"2022","0100000US","United States","SF0083","Revenue - General Revenue - From Own Sources - Current Charges - Natural Resources Forestry","002","State","777470","0.00",
"2022","0100000US","United States","SF0084","Revenue - General Revenue - From Own Sources - Current Charges - Natural Resources, Other","002","State","1775171","0.00",
"2022","0100000US","United States","SF0085","Revenue - General Revenue - From Own Sources - Current Charges - Parking Facilities","002","State","29231","0.00",
"2022","0100000US","United States","SF0086","Revenue - General Revenue - From Own Sources - Current Charges - Parks and Recreation","002","State","2134197","0.00",
"2022","0100000US","United States","SF0087","Revenue - General Revenue - From Own Sources - Current Charges - Sewerage","002","State","1136818","0.00",
"2022","0100000US","United States","SF0088","Revenue - General Revenue - From Own Sources - Current Charges - Solid Waste Management","002","State","214290","0.00",
"2022","0100000US","United States","SF0089","Revenue - General Revenue - From Own Sources - Current Charges - Sea and Inland Port Facilities","002","State","2946095","0.00",
"2022","0100000US","United States","SF0090","Revenue - General Revenue - From Own Sources - Current Charges - All Other General Current Charges","002","State","22519275","0.00",
"2022","0100000US","United States","SF0091","Revenue - General Revenue - From Own Sources - Total Miscellaneous General Revenue","002","State","171587467","0.00",
"2022","0100000US","United States","SF0092","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Special Assessments","002","State","16817","0.00",
"2022","0100000US","United States","SF0093","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Sale of Property","002","State","1806459","0.00",
"2022","0100000US","United States","SF0094","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Interest Earnings","002","State","24061771","0.00",
"2022","0100000US","United States","SF0095","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Other Dividends","002","State","1240257","0.00",
"2022","0100000US","United States","SF0096","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Fines and Forfeits","002","State","5557941","0.00",
"2022","0100000US","United States","SF0097","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Rents","002","State","1537298","0.00",
"2022","0100000US","United States","SF0098","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Royalties","002","State","8630810","0.00",
"2022","0100000US","United States","SF0099","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Donations","002","State","27451373","0.00",
"2022","0100000US","United States","SF0100","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Net Lottery","002","State","32494928","0.00",
"2022","0100000US","United States","SF0101","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Other","002","State","68789813","0.00",
"2022","0100000US","United States","SF0102","Exhibit - Revenue - Lottery Total Ticket Sales","002","State","97889130","0.00",
"2022","0100000US","United States","SF0103","Exhibit - Revenue - Lottery Proceeds Available","002","State","28337869","0.00",
"2022","0100000US","United States","SF0104","Revenue - Total Utility Revenue","002","State","12223410","0.00",
